Repository,number_of_super,number_of_return_statements,number_of_modules,number_of_and_statements,number_of_case_statements,number_of_retry_statements,number_of_raise_statements,number_of_put_statements,number_of_instance_variables,number_of_yield_statements,number_of_alias,number_of_for_loops,number_of_created_constants,number_of_branching_statements,number_of_regular_expressions,number_of_constants,number_of_global_variables,number_of_or_statements,number_of_not_statements,total_number_of_logical_statements,total_number_of_loops,number_of_basic_integers,number_of_arrays,number_of_strings,number_of_reserved_words_meet_in_project,number_of_branch_blocks,number_of_document_sections,number_of_redo_statements,number_of_ternary_operators,number_of_hexadecimal_octal_literals,number_of_print_statements,number_of_until_loops,number_of_next_statements,number_of_while_loops
cms,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,3,0,0,8,8,0,8,4,72,84,0,0,0,0,0,0,0,0,0
coderdojo.jp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,4,5,18,0,0,0,0,0,0,0,0,0
coinfi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,21,7,14,14,0,0,0,0,3,0,0,0,0
CompassApp,0,6,0,28,0,0,0,1,72,0,0,0,89,131,21,697,0,13,12,53,2,252,73,203,621,104,0,0,1,1,0,0,4,2
consuldemocracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7,4,19,20,0,0,0,0,1,0,0,0,0
cookbooks_public,0,0,2,33,3,0,1,0,0,0,0,9,212,28,18,5,0,6,3,42,9,19,90,120,209,23,0,0,0,8,0,0,0,0
cosmos,0,2,3,11,1,0,2,79,0,0,0,5,58,85,112,0,5,9,16,36,6,131,145,301,410,64,0,0,0,0,1,0,2,1
crowbar-core,0,0,0,1,0,0,0,0,0,0,0,2,10,0,1,1,0,2,1,4,2,6,0,5,12,0,0,0,0,0,0,0,0,0
curate,0,0,0,1,1,0,1,10,3,2,0,0,8,10,11,10,0,1,0,2,0,16,14,78,78,8,0,0,0,0,0,0,1,0
cypress,0,0,0,9,0,0,0,6,61,0,0,17,18,18,8,50,0,3,22,34,17,253,161,281,304,16,0,0,5,8,0,0,0,0
datadog-api-client-ruby,0,0,0,0,0,0,0,0,5,0,0,0,6,0,11,10,0,0,1,1,0,18,14,34,30,0,1,0,0,0,0,0,0,0
decidim,0,0,11,0,0,0,0,0,0,0,0,0,12,0,9,7,0,0,1,1,0,72,20,61,90,0,0,0,0,34,0,0,1,0
decko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
dgidb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,2,0,3,2,8,24,0,0,0,0,0,0,0,0,0
diaspora,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,19,0,4,3,7,0,14,3,30,64,2,0,0,0,0,0,0,0,0
discourse,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,2,0,0,0,0,2,6,20,24,16,0,0,0,0,0,0,0,0,0
Docker-Provider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
docs.konghq.com,0,0,0,4,1,0,0,0,0,0,0,3,3,0,4,1,0,9,1,14,3,24,0,126,38,0,0,0,0,0,0,0,0,0
DodontoF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0
EBWiki,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,4,13,2,0,0,0,0,0,0,0,0
ecommerce-workshop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,3,4,0,0,0,0,0,0,0,0,0
ekylibre,0,0,0,7,0,0,0,0,13,0,0,2,28,6,2,31,0,6,7,20,2,86,7,45,215,6,0,0,0,6,0,0,0,0
engineering-blog,0,0,0,21,0,0,0,0,0,0,0,20,21,161,43,149,0,2,0,23,20,944,468,779,372,111,0,0,0,20,0,0,0,0
Fingerprinter,0,0,10,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
FireApp,0,6,0,33,1,0,0,2,121,0,0,0,98,173,26,818,0,18,17,68,2,295,122,279,783,143,1,0,1,0,0,0,4,2
forem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,9,33,0,0,0,0,0,0,0,0,0
foreman,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,7,1,0,0,0,0,0,0,0,0
fromthepage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
gapic-generator-ruby,0,0,1,5,0,0,0,0,0,0,0,4,14,0,7,1,0,3,2,10,4,7,32,33,29,0,0,0,0,0,0,0,0,0
get-into-teaching-app,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,18,15,0,0,0,0,0,0,0,0,0
gitlabhq,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4,13,1,0,0,0,0,0,0,0,0
google-api-ruby-client,0,0,0,4,0,0,0,0,3,0,0,4,10,5,5,18,0,3,1,8,4,16,8,36,47,4,0,0,0,0,0,0,2,0
google-cloud-ruby,1,0,0,4,0,0,0,0,0,0,0,4,20,4,6,53,0,5,8,17,4,43,5,104,273,4,0,0,0,33,0,0,0,0
graphql-ruby,2,0,1,0,1,0,5,0,6,0,0,0,4,24,2,62,0,3,0,3,1,16,31,40,236,12,0,0,0,0,0,0,0,1
hackathon-manager,15,16,0,22,0,9,1,0,55,0,0,17,2,3,17,194,0,4,35,61,17,294,48,539,611,2,0,0,0,32,0,0,3,0
heatseeknyc,0,1,0,0,0,0,0,0,0,0,0,2,1,6,0,1,0,0,9,9,2,288,26,68,99,6,0,0,0,118,0,0,0,0
hitobito,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,3,0,3,2,5,10,0,0,0,0,0,0,0,0,0
